,Director,Average Rating,Major Genre
588,Danny Boyle,7.262499999999999,Adventure
589,Mark Andrews,7.2,Animation
590,Niels Arden Oplev,7.8,Drama
591,Anne Fontaine,6.2,Drama
592,Michaël R. Roskam,7.1,Crime
593,Andy Fickman,6.4,Comedy
594,Sean Anders,6.199999999999999,Comedy
595,Matt Reeves,7.25,Drama
596,Jeff Wadlow,6.6,Action
597,Louis Leterrier,6.3125,Action
598,Duncan Jones,7.475,Drama
599,Tom McGrath,7.3,Animation
600,Ruben Fleischer,7.2,Action
601,Jean-François Richet,6.4,Action
602,Ken Kwapis,6.4,Comedy
603,Alessandro Carloni,7.2,Animation
604,Zackary Adler,5.1,Crime
605,John Butler,7.4,Drama
606,Debra Granik,7.2,Drama
607,Seth Gordon,6.9,Comedy
608,Xavier Dolan,7.55,Drama
609,Guillermo del Toro,7.25,Action
610,Richard LaGravenese,7.075,Drama
611,Maren Ade,7.6,Comedy
612,Peter Jackson,7.237500000000001,Drama
613,Andrew Dominik,7.5,Biography
614,Joseph Gordon-Levitt,6.6,Comedy
615,James Watkins,6.3,Action
616,Joey Curtis,4.0,Sci-Fi
617,Gary Ross,7.050000000000001,Action
618,Paco Cabezas,6.3,Action
619,Ben Stiller,6.574999999999999,Adventure
620,Rick Famuyiwa,7.3,Comedy
621,Måns Mårlind,6.4,Action
622,Lars von Trier,6.925,Drama
623,Marcus Nispel,5.4,Horror
624,Olivier Megaton,6.0,Action
625,Len Wiseman,6.75,Action
626,Brett Ratner,6.35,Action
627,Will Slocombe,6.0,Comedy
628,Courtney Hunt,6.1,Crime
629,Shawn Levy,6.675,Adventure
630,Edward Zwick,7.2,Comedy
631,Evan Goldberg,6.6,Comedy
632,Bong Joon Ho,7.0,Comedy
633,Michael Goi,4.9,Drama
634,Andrew Stanton,7.7,Animation
635,Judd Apatow,6.425000000000001,Comedy
636,Duncan Jones,7.475,Mystery
637,John Hillcoat,7.05,Crime
638,Levan Gabriadze,5.6,Drama
639,Jon Hurwitz,6.7,Comedy
640,Gabriele Muccino,7.85,Biography
641,Damián Szifron,8.1,Comedy
642,Frank Coraci,5.65,Comedy
643,François Ozon,7.5,Drama
644,Henry Joost,6.05,Drama
645,Clint Eastwood,7.8,Drama
646,John Wells,6.6,Comedy
647,Jonathan Holbrook,3.2,Fantasy
648,Julia Leigh,5.3,Drama
649,Mark Waters,5.6,Action
650,Tim Burton,6.6,Drama
651,Afonso Poyart,6.4,Crime
652,James Wan,7.1,Horror
653,Akiva Schaffer,6.7,Comedy
654,Hope Dickson Leach,6.4,Drama
655,Michael Mann,6.2,Biography
656,Richard Linklater,7.45,Drama
657,Jonathan Liebesman,5.85,Action
658,David Cronenberg,7.7,Crime
659,Simon Stone,6.7,Drama
660,David Gordon Green,6.3,Action
661,Jon Kasdan,6.9,Comedy
662,Ben Affleck,7.525,Crime
663,Paul Feig,6.5874999999999995,Action
664,Mia Hansen-Løve,7.1,Drama
665,Joe Wright,6.574999999999999,Drama
666,Alejandro Amenábar,5.7,Crime
667,Seth MacFarlane,6.375,Adventure
668,Michael Bay,6.2625,Comedy
669,Edward Zwick,7.2,Adventure
670,Atom Egoyan,6.1,Biography
671,Daniel Espinosa,6.5,Crime
672,Kathryn Bigelow,7.5,Drama
673,Martin Campbell,6.8,Action
674,John Michael McDonagh,5.9,Action
675,Frank Darabont,7.2,Horror
676,Mikael Håfström,6.75,Action
677,Christian Ditter,6.65,Comedy
678,Ari Sandel,6.5,Comedy
679,Jee-woon Kim,7.2,Action
680,Francis Lawrence,6.975,Action
681,Lynne Ramsay,7.5,Drama
682,Whit Stillman,6.5,Comedy
683,Harald Zwart,6.050000000000001,Action
684,Gabriele Muccino,7.85,Drama
685,Tom Hooper,7.65,Biography
686,Steve McQueen,7.625,Biography
687,Doug Liman,7.0,Action
688,Lee Unkrich,8.3,Animation
689,Tomas Alfredson,7.1,Drama
690,Paul W.S. Anderson,5.93125,Action
691,Gauri Shinde,7.8,Drama
692,Michael Grandage,6.5,Biography
693,Paul W.S. Anderson,5.93125,Action
694,Ang Lee,7.1,Adventure
695,Lasse Hallström,7.4,Drama
696,Jamie Linden,6.1,Comedy
697,Mike Cahill,7.3,Drama
698,Len Wiseman,6.75,Action
699,Caleb Vetter,5.5,Comedy
700,Michael Haneke,6.5,Crime
701,Seth MacFarlane,6.375,Comedy
702,Robert Schwentke,6.55,Action
703,Baz Luhrmann,6.949999999999999,Adventure
704,George Tillman Jr.,6.75,Action
705,Marcus Dunstan,5.8,Crime
706,George Nolfi,5.5,Romance
707,John Krasinski,6.5,Comedy
708,David Dobkin,7.4,Crime
709,John Crowley,6.85,Crime
710,Michael Bay,6.2625,Action
711,Michael Dudok de Wit,7.6,Animation
712,Jorge R. Gutiérrez,7.3,Animation
713,Denis Villeneuve,7.78125,Drama
714,Bobby Farrelly,5.8,Comedy
715,George Miller,7.3,Animation
716,Doug Ellin,6.6,Comedy
717,Bryan Bertino,6.2,Horror
718,Darren Aronofsky,7.1,Action
719,Nicholas Stoller,6.575,Comedy
720,Lars von Trier,6.925,Drama
721,Jean-Marc Vallée,7.3,Adventure
722,Dennis Dugan,5.725,Comedy
723,Adam Wingard,5.9,Horror
724,Harald Zwart,6.050000000000001,Action
725,Tim Burton,6.6,Comedy
726,Will Gluck,6.074999999999999,Comedy
727,Neil Burger,7.325,Drama
